,Unnamed: 0,Timestamp,State,MW,ANX
138,138,16:43:34,1,2.0,1.0
139,139,16:43:35,1,2.0,1.0
140,140,16:43:36,1,2.0,1.0
141,141,16:43:37,1,2.0,2.0
142,142,16:43:38,1,3.0,2.0
143,143,16:43:39,1,2.0,2.0
144,144,16:43:40,1,2.0,1.0
145,145,16:43:41,1,2.0,1.0
146,146,16:43:42,1,2.0,1.0
147,147,16:43:43,1,2.0,1.0
148,148,16:43:44,1,2.0,1.0
149,149,16:43:45,1,2.0,2.0
150,150,16:43:46,1,2.0,2.0
151,151,16:43:47,1,2.0,1.0
152,152,16:43:48,0,2.0,1.0
153,153,16:43:49,0,2.0,1.0
154,154,16:43:50,0,2.0,1.0
155,155,16:43:51,0,2.0,2.0
156,156,16:43:52,0,3.0,2.0
157,157,16:43:53,0,2.0,1.0
158,158,16:43:54,0,2.0,1.0
159,159,16:43:55,0,2.0,1.0
160,160,16:43:56,0,2.0,1.0
161,161,16:43:57,0,2.0,1.0
162,162,16:43:58,0,3.0,2.0
163,163,16:43:59,0,2.0,2.0
164,164,16:44:00,0,2.0,1.0
165,165,16:44:01,0,2.0,1.0
166,166,16:44:02,0,2.0,1.0
167,167,16:44:03,0,2.0,1.0
168,168,16:44:04,0,2.0,2.0
169,169,16:44:05,0,2.0,2.0
170,170,16:44:06,0,2.0,1.0
171,171,16:44:07,0,2.0,1.0
172,172,16:44:08,0,2.0,1.0
173,173,16:44:09,0,2.0,1.0
174,174,16:44:10,0,2.0,1.0
175,175,16:44:11,0,2.0,2.0
176,176,16:44:12,0,2.0,1.0
177,177,16:44:13,0,2.0,1.0
178,178,16:44:14,0,2.0,1.0
179,179,16:44:15,0,2.0,1.0
180,180,16:44:16,0,2.0,2.0
181,181,16:44:17,0,2.0,1.0
182,182,16:44:18,0,2.0,1.0
183,183,16:44:19,0,2.0,1.0
184,184,16:44:20,0,2.0,1.0
